날짜,기사제목,링크
2023-09-27,‘승계 마침표’ 찍은 홍재현 신일제약 대표의 과제는?,https://finance.naver.com/item/news_read.naver?article_id=0005585012&office_id=018&code=012790&page=1&sm=
2023-09-13,"신일제약, 홍재현씨 외 22명으로 최대주주 변경",https://finance.naver.com/item/news_read.naver?article_id=0005574151&office_id=018&code=012790&page=1&sm=
2023-03-10,"신일제약, 27일 정기주주총회",https://finance.naver.com/item/news_read.naver?article_id=0011734819&office_id=003&code=012790&page=1&sm=
