날짜,기사제목,링크
2023-08-16,"3S, 43억원 규모 배터리랩 시험장치 공급계약 체결",https://finance.naver.com/item/news_read.naver?article_id=0005552324&office_id=018&code=060310&page=1&sm=
2023-08-16,"삼에스코리아, 제이지텍과 43억 규모 계약 체결",https://finance.naver.com/item/news_read.naver?article_id=0012033703&office_id=003&code=060310&page=1&sm=
2023-06-04,1년 만에 7배 뛴 3S [급등주 지금은],https://finance.naver.com/item/news_read.naver?article_id=0011895305&office_id=003&code=060310&page=1&sm=
2023-05-26,"3S, 지난해 영업이익 22억…전년比 50.2%↑",https://finance.naver.com/item/news_read.naver?article_id=0011881759&office_id=003&code=060310&page=1&sm=
